query_id,ref_id,channel,raw_query,predicted_category,confidence_score,confidence_tier,urgent_override,action,effective_priority,sla_first_response,sla_resolution,auto_reply,conversation_turns,ticket_id,timestamp
Q060,REF-900291,Email,The electronic item came without any charger in the box.,Product Complaint,0.6481,High,False,Auto-Reply,Medium,4h,24h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.006857
Q061,REF-31DA61,WhatsApp,Mera order abhi tak nahi aaya. Kab aayega?,Order Status,0.6759,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-31DA61. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.007753
Q062,REF-D8975E,WhatsApp,Paisa cut ho gaya lekin order nahi hua.,Payment Issue,0.6769,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

We're sorry to hear about the payment issue you've experienced. Our payment team has been alerted and is investigating this urgently. If an amount was deducted, it will be automatically refunded within 3-5 business days. Your transaction reference will be shared via email within 2 hours.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.008584
Q063,REF-1D3DD5,Instagram DM,Mujhe refund chahiye. Product kharab tha.,Refund Request,0.6897,High,False,Auto-Reply,High,1h,4h,"Hey! Thanks for DMing us on Instagram.

We have successfully received your refund request (Reference: REF-1D3DD5). Your refund of the debited amount will be credited to your original payment method within 5-7 business days. You will receive a confirmation email once the refund has been initiated.

Feel free to DM us anytime.",0,N/A,2026-03-21T21:27:45.009412
Q064,REF-FE3AFC,Website Chat,Delivery mein itni der kyun lag rahi hai?,Delivery Delay,0.6699,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

We sincerely apologize for the inconvenience caused by the delivery delay. Our logistics team has been notified and is actively working to expedite your shipment. You will receive a detailed update within the next 24 hours. As a token of apology, a discount coupon has been added to your account.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.011807
Q065,REF-07AFCA,Email,Product bilkul galat aaya hai. Please isko wapas le lo.,Product Complaint,0.6414,High,False,Auto-Reply,High,1h,4h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.013247
Q066,REF-44EBDC,WhatsApp,Delivery kab tak hogi mere order ki?,Order Status,0.6773,High,False,Auto-Reply,Low,24h,72h,"Hi! Thanks for messaging us on WhatsApp.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-44EBDC. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.014792
Q067,REF-747B21,Instagram DM,Mujhe apna address change karna hai.,General Inquiry,0.603,High,False,Auto-Reply,Low,24h,72h,"Hey! Thanks for DMing us on Instagram.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Feel free to DM us anytime.",0,N/A,2026-03-21T21:27:45.015685
Q068,REF-176BAD,WhatsApp,My order still shows processing after 4 days.,Order Status,0.6905,High,False,Auto-Reply,Medium,4h,24h,"Hi! Thanks for messaging us on WhatsApp.

Your order is currently being processed by our fulfillment team. You can track your order in real-time at: https://track.beastlife.com/REF-176BAD. Expected delivery: 2-5 business days. If you need further assistance, our team is available 24/7.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.016681
Q069,REF-28310B,Email,Can I reschedule my delivery to next week?,General Inquiry,0.6045,High,False,Auto-Reply,Low,24h,72h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: Do you offer free shipping?
A: Yes, we offer free shipping on eligible orders above the minimum cart value shown at checkout.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.017622
Q070,REF-EB5419,Website Chat,Is COD available for my PIN code 560001?,General Inquiry,0.5963,High,False,Auto-Reply,Low,24h,72h,"Hello! Thanks for contacting us on our website.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.018497
Q071,REF-402BDE,WhatsApp,Refund approved but not received after 7 days.,Refund Request,0.2587,Low,False,Human Escalation,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-402BDE.

Reply anytime - we're here 24/7.",0,TKT-4444BEB4,2026-03-21T21:27:45.021436
Q072,REF-74C96B,Instagram DM,How do I track my order?,General Inquiry,0.3384,Medium,False,Ticket Creation,Low,24h,72h,"Hey! Thanks for DMing us on Instagram.

Thank you for reaching out. We've created a support ticket for your query (Ref: REF-74C96B). A dedicated agent will respond within the SLA window.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Feel free to DM us anytime.",0,TKT-44DDCD6D,2026-03-21T21:27:45.025240
Q073,REF-5049C2,Email,My address was wrongly entered. Can you update it?,General Inquiry,0.6172,High,False,Auto-Reply,Medium,4h,24h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: Do you offer free shipping?
A: Yes, we offer free shipping on eligible orders above the minimum cart value shown at checkout.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.026983
Q074,REF-ECC24E,Website Chat,I want to cancel my order before it ships.,General Inquiry,0.5602,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.029422
Q075,REF-E2C35D,WhatsApp,Product is amazing! But delivery was a bit late.,Delivery Delay,0.6877,High,False,Auto-Reply,Low,24h,72h,"Hi! Thanks for messaging us on WhatsApp.

We sincerely apologize for the inconvenience caused by the delivery delay. Our logistics team has been notified and is actively working to expedite your shipment. You will receive a detailed update within the next 24 hours. As a token of apology, a discount coupon has been added to your account.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.031055
Q076,REF-0E43E1,Email,What payment methods do you accept?,General Inquiry,0.6637,High,False,Auto-Reply,Low,24h,72h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: What payment methods are supported?
A: We support UPI, cards, net banking, and major wallets where available.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.032077
Q077,REF-2DB2AE,Instagram DM,My order shows delivered but nothing found.,Order Status,0.2868,Low,False,Human Escalation,High,1h,4h,"Hey! Thanks for DMing us on Instagram.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-2DB2AE.

Feel free to DM us anytime.",0,TKT-8A22FF2A,2026-03-21T21:27:45.036358
Q078,REF-AE41B3,Website Chat,Received broken seal on the product box.,Product Complaint,0.5943,High,True,Auto-Reply,High,1h,4h,"Hello! Thanks for contacting us on our website.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.037470
Q079,REF-9AAFB6,WhatsApp,I got someone else's order. Please fix this.,Payment Issue,0.3154,Medium,False,Ticket Creation,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

Thank you for reaching out. We've created a support ticket for your query (Ref: REF-9AAFB6). A dedicated agent will respond within the SLA window.

Reply anytime - we're here 24/7.",0,TKT-607BCBED,2026-03-21T21:27:45.040383
Q080,REF-6B2528,Email,Please provide invoice for my order #20391.,General Inquiry,0.5555,High,False,Auto-Reply,Low,24h,72h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.041841
Q081,REF-38D6EF,WhatsApp,Payment is showing pending on my end.,Payment Issue,0.2916,Low,False,Human Escalation,Medium,4h,24h,"Hi! Thanks for messaging us on WhatsApp.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-38D6EF.

Reply anytime - we're here 24/7.",0,TKT-74B07A51,2026-03-21T21:27:45.047849
Q082,REF-551719,Instagram DM,I got charged extra compared to the price shown.,Payment Issue,0.689,High,False,Auto-Reply,High,1h,4h,"Hey! Thanks for DMing us on Instagram.

We're sorry to hear about the payment issue you've experienced. Our payment team has been alerted and is investigating this urgently. If an amount was deducted, it will be automatically refunded within 3-5 business days. Your transaction reference will be shared via email within 2 hours.

Feel free to DM us anytime.",0,N/A,2026-03-21T21:27:45.049042
Q083,REF-3DDBB7,Email,I need help with applying store credits.,General Inquiry,0.5991,High,False,Auto-Reply,Low,24h,72h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.049877
Q084,REF-646DDC,Website Chat,Product smells strange. Is it authentic?,Product Complaint,0.6432,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.050676
Q085,REF-F7B52A,WhatsApp,Tracking link is not working.,Delivery Delay,0.2477,Low,False,Human Escalation,Medium,4h,24h,"Hi! Thanks for messaging us on WhatsApp.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-F7B52A.

Reply anytime - we're here 24/7.",0,TKT-81BF06A0,2026-03-21T21:27:45.053487
Q086,REF-646AF2,Email,My order is stuck at the warehouse.,Delivery Delay,0.6395,High,False,Auto-Reply,High,1h,4h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the inconvenience caused by the delivery delay. Our logistics team has been notified and is actively working to expedite your shipment. You will receive a detailed update within the next 24 hours. As a token of apology, a discount coupon has been added to your account.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.054904
Q087,REF-F65576,Instagram DM,I ordered the wrong size. Can I exchange?,General Inquiry,0.5921,High,False,Auto-Reply,Medium,4h,24h,"Hey! Thanks for DMing us on Instagram.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Feel free to DM us anytime.",0,N/A,2026-03-21T21:27:45.055832
Q088,REF-46B72B,Website Chat,Do you ship internationally?,General Inquiry,0.6871,High,False,Auto-Reply,Low,24h,72h,"Hello! Thanks for contacting us on our website.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: Do you offer free shipping?
A: Yes, we offer free shipping on eligible orders above the minimum cart value shown at checkout.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.056609
Q089,REF-455A66,WhatsApp,Refund has not been initiated for 2 weeks.,Refund Request,0.6919,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

We have successfully received your refund request (Reference: REF-455A66). Your refund of the debited amount will be credited to your original payment method within 5-7 business days. You will receive a confirmation email once the refund has been initiated.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.057393
Q090,REF-7A7088,Email,I want to lodge a formal complaint about the delivery partner.,Product Complaint,0.5983,High,False,Auto-Reply,High,1h,4h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.058193
Q091,REF-EEC801,WhatsApp,Can I add items to my existing order?,General Inquiry,0.342,Medium,False,Ticket Creation,Low,24h,72h,"Hi! Thanks for messaging us on WhatsApp.

Thank you for reaching out. We've created a support ticket for your query (Ref: REF-EEC801). A dedicated agent will respond within the SLA window.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Reply anytime - we're here 24/7.",0,TKT-C24A56AB,2026-03-21T21:27:45.062814
Q092,REF-4FEB4C,Instagram DM,The seller is not responding to my messages.,Delivery Delay,0.2464,Low,False,Human Escalation,Medium,4h,24h,"Hey! Thanks for DMing us on Instagram.

Your query requires personalized attention. We're connecting you with a live support agent right now. Estimated wait time: 3-5 minutes. Your reference: REF-4FEB4C.

Feel free to DM us anytime.",0,TKT-03741A7C,2026-03-21T21:27:45.066737
Q093,REF-84C203,Email,I received used/second-hand item instead of new.,Product Complaint,0.5379,High,False,Auto-Reply,High,1h,4h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.068095
Q094,REF-6ED64C,Website Chat,Can I get a replacement instead of refund?,Refund Request,0.7105,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

We have successfully received your refund request (Reference: REF-6ED64C). Your refund of the debited amount will be credited to your original payment method within 5-7 business days. You will receive a confirmation email once the refund has been initiated.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.068959
Q095,REF-67ADA3,WhatsApp,Product not as described. Very disappointed.,Product Complaint,0.6509,High,False,Auto-Reply,High,1h,4h,"Hi! Thanks for messaging us on WhatsApp.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.069770
Q096,REF-68AFBE,Email,Ordered 2 items but only 1 was delivered.,Product Complaint,0.6444,High,False,Auto-Reply,High,1h,4h,"Dear Customer,

Thank you for reaching out via email.

We sincerely apologize for the experience with your product. This is not the standard we hold ourselves to. Please share photos/videos of the issue by replying to this message, and we will arrange an immediate replacement or full refund — whichever you prefer.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.070529
Q097,REF-517BB2,Instagram DM,Is there a way to speed up my delivery?,Delivery Delay,0.6932,High,False,Auto-Reply,Low,24h,72h,"Hey! Thanks for DMing us on Instagram.

We sincerely apologize for the inconvenience caused by the delivery delay. Our logistics team has been notified and is actively working to expedite your shipment. You will receive a detailed update within the next 24 hours. As a token of apology, a discount coupon has been added to your account.

Feel free to DM us anytime.",0,N/A,2026-03-21T21:27:45.071281
Q098,REF-02CE52,Website Chat,I'm unable to place an order. App crashes.,General Inquiry,0.5516,High,False,Auto-Reply,Medium,4h,24h,"Hello! Thanks for contacting us on our website.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Is there anything else I can help you with today?",0,N/A,2026-03-21T21:27:45.072077
Q099,REF-7389F8,WhatsApp,Price was different at checkout than listed.,Payment Issue,0.6827,High,False,Auto-Reply,Medium,4h,24h,"Hi! Thanks for messaging us on WhatsApp.

We're sorry to hear about the payment issue you've experienced. Our payment team has been alerted and is investigating this urgently. If an amount was deducted, it will be automatically refunded within 3-5 business days. Your transaction reference will be shared via email within 2 hours.

Reply anytime - we're here 24/7.",0,N/A,2026-03-21T21:27:45.073093
Q100,REF-1739EB,Email,Great service overall! My order came on time.,General Inquiry,0.5858,High,False,Auto-Reply,Low,24h,72h,"Dear Customer,

Thank you for reaching out via email.

Thank you for your query. Our support team has received your message and will get back to you with a detailed response shortly. In the meantime, you can visit our FAQ at: https://help.beastlife.com/faq for quick answers to common questions.

Quick answer from FAQ:
Q: How can I track my order?
A: You can track your order from the order history page or via the tracking link sent by SMS/email.

Best regards,
Customer Support Team
support@beastlife.com",0,N/A,2026-03-21T21:27:45.074181
